kelime	sıklık	tür	okunuş	çeviri	seviye
truck	1248	noun	/trʌk/	kamyon	A1
minister	1249	noun	/ˈmɪnɪstər/	bakan	B2
handle	1250	verb	/ˈhændl/	ele almak (meseleyi), üstesinden gelmek	B2
hole	1251	noun	/hoʊl/	delik	A2
front	1252	adj.	/frʌnt/	ön	A1
fan	1253	noun	/fæn/	fan	A2
spot	1254	noun	/spɑːt/	leke, benek, nokta	B2
crisis	1255	noun	/ˈkraɪsɪs/	kriz	B2
supposed	1256	adj.	/səˈpoʊzd/	sözde	
refuse	1257	verb	/rɪˈfjuːz/	reddetmek  (sert bir şekilde)&nbsp;	
drink	1258	verb	/drɪŋk/	içmek	A1
researcher	1259	noun	/ˈriːsɜːrtʃərˌrɪˈsɜːrtʃər/	araştırmacı	A2
tradition	1260	noun	/trəˈdɪʃn/	gelenek	A2
communication	1261	noun	/kəˌmjuːnɪˈkeɪʃn/	iletişim	B1
distance	1262	noun	/ˈdɪstəns/	mesafe	A2
ship	1263	noun	/ʃɪp/	gemi	B2
gain	1264	verb	/ɡeɪn/	kazanmak, elde etmek	B2
express	1265	verb	/ɪkˈspres/	ifade etmek	A2
independent	1266	adj.	/ˌɪndɪˈpendənt/	bağımsız	A2
ice	1267	noun	/aɪs/	buz	A1
scale	1268	noun	/skeɪl/	ölçek	B2
brain	1269	noun	/breɪn/	beyin	A2
winter	1270	noun	/ˈwɪntər/	kış mevsimi	A1
commission	1271	noun	/kəˈmɪʃn/	komisyon	B2
wood	1272	noun	/wʊd/	odun	A2
increase	1273	noun	/ɪnˈkriːs; ˈɪŋkriːs; ˈɪnkriːs/	artış	A2
return	1274	noun	/rɪˈtɜːrn/	geri dönüş	A1
division	1275	noun	/dɪˈvɪʒn/	bölme / bölünme	B2
species	1276	noun	/ˈspiːʃiːz/	tür (biyolojik)	B2
AM	1277	adv.	/ˌeɪ ˈem/	AM	
roll	1278	verb	/roʊl/	yuvarlamak/yuvarlanmak	B1
hide	1279	verb	/haɪd/	saklamak/saklanmak	A2
middle	1280	noun	/ˈmɪdl/	orta	A2
client	1281	noun	/ˈklaɪənt/	müşteri (profesyonel hizmet alan)	B1
resident	1282	noun	/ˈrezɪdənt/	bir yerde oturan/sakin	B2
contract	1283	noun	/ˈkɑːntrækt/	sözleşme	B2
gold	1284	noun	/ɡoʊld/	altın	A2
future	1285	adj.	/ˈfjuːtʃər/	gelecek	A2
potential	1286	adj.	/pəˈtenʃl/	potansiyel	B2
presence	1287	noun	/ˈprezns/	mevcudiyet, varlık	B2
institute	1288	noun	/ˈɪnstɪtuːt/	enstitü	B2
screen	1289	noun	/skriːn/	ekran	B2
run	1290	noun	/rʌn/	koşu	A2
Chinese	1291	adj.	/ˌtʃaɪˈniːz/	Çinli	
horse	1292	noun	/hɔːrs/	at	A1
European	1293	adj.	/ˌjʊr.əˈpiː.ən/	Avrupalı	
target	1294	noun	/ˈtɑːrɡɪt/	hedef	B2
willing	1295	adj.	/ˈwɪlɪŋ/	hevesli, gönüllü	B2
survey	1296	noun	/ˈsɜːrveɪ/	anket	B2
interested	1297	adj.	/ˈɪntrəstɪd; ˈɪntrestɪd/	ilgili, alakalı	A1
chief	1298	noun	/tʃiːf/	şef	B2
crowd	1299	noun	/kraʊd/	kalabalık	A2
prison	1300	noun	/ˈprɪzn/	hapishane	A2
terms	1301	prepos.	/tɜːrmz/	terimler	B2
obviously	1302	adv.	/ˈɑːbviəsli/	açıkçası	B1
basis	1303	noun	/ˈbeɪsɪs/	(soyut) temel	B1
apartment	1304	noun	/əˈpɑːrtmənt/	apartman	A1
farm	1305	noun	/fɑːrm/	çiftlik	A2
flight	1306	noun	/flaɪt/	uçuş	A1
shape	1307	noun	/ʃeɪp/	şekil	B2
demand	1308	noun	/dɪˈmænd/	talep	B2
strength	1309	noun	/streŋkθ/	(bedenen) kuvvet	B1
village	1310	noun	/ˈvɪlɪdʒ/	köy	A2
operate	1311	verb	/ˈɑːpəreɪt/	işletmek, çalıştırmak / ameliyat etmek	B2
reporter	1312	noun	/rɪˈpɔːr.t̬ɚ/	muhabir	A2
share	1313	noun	/ʃer/	pay	B1
guard	1314	noun	/ɡɑːrd/	koruma, muhafız	B1
observe	1315	verb	/əbˈzɜːrv/	gözlemlemek	B2
deliver	1316	verb	/dɪˈlɪvər/	teslim etmek	B1
count	1317	verb	/kaʊnt/	saymak	B1
inside	1318	adv.	/ˌɪnˈsaɪd/	içeri	A2
advantage	1319	noun	/ədˈvæntɪdʒ/	avantaj	A2
wild	1320	adj.	/waɪld/	vahşi	A2
previous	1321	adj.	/ˈpriːviəs/	önceki	B1
average	1322	adj.	/ˈævərɪdʒ/	ortalama	B1
emerge	1323	verb	/ɪˈmɜːrdʒ/	ortaya çıkmak	B2
contribute	1324	verb	/kənˈtrɪbjuːt/	katkıda bulunmak	B2
leadership	1325	noun	/ˈliːdərʃɪp/	liderlik	B2
boat	1326	noun	/boʊt/	bot	A1
facility	1327	noun	/fəˈsɪləti/	tesis	B2
present	1328	adj.	/ˈpreznt/	mevcut	A2
earn	1329	verb	/ɜːrn/	para kazanmak, kazanmak	A2
highly	1330	adv.	/ˈhaɪli/	yüksek oranda/derece	B1
vehicle	1331	noun	/ˈviːəkl; ˈviːhɪkl/	taşıt, vasıta	A2
pound	1332	noun	/paʊnd/	pound	A1
tiny	1333	adj.	/ˈtaɪni/	minicik, ufacık	B1
understanding	1334	noun	/ˌʌndərˈstændɪŋ/	anlayış	A2
settle	1335	verb	/ˈset̬.əl/	yerleşmek&nbsp;(bir yere)	B2
unless	1336	conj.	/ənˈles/	-medikçe, -madıkça	B1
tomorrow	1337	adv.	/təˈmɑːroʊ/	yarın	A1
foundation	1338	noun	/faʊnˈdeɪʃn/	vakıf, temel  (bir şeye destek niteliğinde)	B2
quick	1339	adj.	/kwɪk/	hızlı (zaman olarak)	A1
block	1340	noun	/blɑːk/	blok	B1
light	1341	adj.	/laɪt/	ışık	A2
reader	1342	noun	/ˈriːdər/	okuyucu	A1
collect	1343	verb	/kəˈlekt/	toplamak / tahsil etmek	A2
guest	1344	noun	/ɡest/	misafir	A2
living	1345	noun	/ˈlɪvɪŋ/	yaşayan	B1
tool	1346	noun	/tuːl/	alet, araç	A2
protection	1347	noun	/prəˈtekʃn/	koruma, korunma	B2
fair	1348	adj.	/fer/	adil	A2
additional	1349	adj.	/əˈdɪʃənl/	ilave, ek	B2
promote	1350	verb	/prəˈmoʊt/	tanıtımını yapmak / terfi etmek	B1
equipment	1351	noun	/ɪˈkwɪpmənt/	araç gereç, teçhizat	A2
mostly	1352	adv.	/ˈmoʊstli/	çoğunlukla	A2
order	1353	verb	/ˈɔːrdər/	sipariş etmek, emir vermek	A1
painting	1354	noun	/ˈpeɪntɪŋ/	tablo	A1
feed	1355	verb	/fiːd/	beslemek	B2
principle	1356	noun	/ˈprɪnsəpl/	prensip	B2
bowl	1357	noun	/boʊl/	tas	A2
claim	1358	noun	/kleɪm/	iddia	B1
technique	1359	noun	/tekˈniːk/	teknik	B1
limit	1360	verb	/ˈlɪmɪt/	sınırlamak/sınırlandırmak	B1
identity	1361	noun	/aɪˈden.t̬ə.t̬i/	kimlik	B1
title	1362	noun	/ˈtɑɪ·t̬əl/	başlık	B2
critic	1363	noun	/ˈkrɪtɪk/	eleştirmen	B2
survive	1364	verb	/sərˈvaɪv/	hayatta kalmak	B1
cry	1365	verb	/kraɪ/	ağlamak	B2
border	1366	noun	/ˈbɔːrdər/	sınır  (ülkeler arası)	B2
lift	1367	verb	/lɪft/	kaldırmak	A2
path	1368	noun	/pæθ/	yol	B1
aspect	1369	noun	/ˈæspekt/	açı, görünüş	B2
marry	1370	verb	/ˈmæri/	evlenmek	A2
shop	1371	noun	/ʃɑːp/	dükkan	A1
failure	1372	noun	/ˈfeɪljər/	başarısızlık	B2
ride	1373	verb	/raɪd/	sürmek&nbsp;  (at, bisiklet vb.)	A2
responsible	1374	adj.	/rɪˈspɑːnsəbl/	sorumlu	B1
gather	1375	verb	/ˈɡæðər/	toplamak (bir araya)	B1
jump	1376	verb	/dʒʌmp/	zıplamak	A2
sample	1377	noun	/ˈsæmpl/	örnek, numune	B2
affair	1378	noun	/əˈfer/	mesele / yasak aşk	B2
result	1379	verb	/rɪˈzʌlt/	sonuçlanmak	B1
worth	1380	prepos.	/wɜːrθ/	değer (soyut)	B2
fit	1381	verb	/fɪt/	uymak&nbsp;(üstüne vb.), sığmak	A2
chairman	1382	noun	/ˈtʃermən/	(yönetim kurulu) başkan	B2
until	1383	prepos.	/ʌnˈtɪl/	-a kadar	A1
lesson	1384	noun	/ˈlesn/	ders	A1
Christmas	1385	noun	/ˈkrɪsməs/	Noel	
insist	1386	verb	/ɪnˈsɪst/	ısrar etmek	B2
anybody	1387	pronoun	/ˈenibɑːdi; ˈenibʌdi/	herhangi kimse	A2
folk	1388	noun	/foʊk/	halk, ahali	B1
band	1389	noun	/bænd/	şerit / bando	A1
ear	1390	noun	/ɪr/	kulak	A1
procedure	1391	noun	/prəˈsiːdʒər/	prosedür	B2
associate	1392	verb	/əˈsoʊsieɪt; əˈsoʊʃieɪt/	ilişkilendirmek, bağdaştırmak	B2
inch	1393	noun	/ɪntʃ/	inç	B2
warm	1394	adj.	/wɔːrm/	ılık, hafif sıcak	B1
African	1395	adj.	/ˈæfrɪkən/	Afrikalı	
French	1396	adj.	/frentʃ/	Fransız	
baseball	1397	noun	/ˈbeɪsbaːl/	beyzbol	A1
demonstrate	1398	verb	/ˈdemənstreɪt/	ispat etmek  (bir şeyi göstererek)	B2
foot	1399	noun	/fʊt/	ayak	A1
Christian	1400	adj.	/'krɪstʃən/	Hristiyan	
approach	1401	verb	/əˈproʊtʃ/	yaklaşmak	B2
competition	1402	noun	/ˌkɑːmpəˈtɪʃn/	yarışma	A2
measure	1403	verb	/ˈmeʒər/	ölçmek	B1
afraid	1404	adj.	/əˈfreɪd/	korkmuş	A1
spread	1405	verb	/spred/	yaymak/yayılmak	B2
ignore	1406	verb	/ɪɡˈnɔːr/	görmezden gelmek	B1
soft	1407	adj.	/sɑːft/	yumuşak	A2
annual	1408	adj.	/ˈænjuəl/	yıllık	B2
wonderful	1409	adj.	/ˈwʌndərf(ə)l/	harika	A1
threaten	1410	verb	/ˈθret(ə)n/	tehdit etmek	B2
commit	1411	verb	/kəˈmɪt/	(suç vb.) işlemek, işlemek	B1
deny	1412	verb	/dɪˈnaɪ/	inkar etmek	B2
intelligence	1413	noun	/ɪnˈtelɪdʒəns/	zeka	B1
regular	1414	adj.	/ˈreɡjələr/	düzenli, normal	A2
influence	1415	noun	/ˈɪnfluəns/	(iyi veya kötü biçimde birini) etkileme	B1
general	1416	noun	/ˈdʒen(ə)rəl/	genel	A2
past	1417	prepos.	/pæst/	geçmiş	A2
reaction	1418	noun	/riˈækʃn/	reaksiyon	B1
cross	1419	verb	/krɑːs/	(bir uçtan diğerine) geçmek	A2
master	1420	noun	/ˈmæstər/	usta	B2
suit	1421	noun	/suːt/	takım elbise	B1
blow	1422	verb	/bloʊ/	üflemek	A2
destroy	1423	verb	/dɪˈstrɔɪ/	imha etmek	A2
gift	1424	noun	/ɡɪft/	hediye	A2
coffee	1425	noun	/ˈkɑː.fi/	kahve	A1
anyway	1426	adv.	/ˈeniweɪ/	neyse	A2
belief	1427	noun	/bɪˈliːf/	inanç	B1
comment	1428	noun	/ˈkɑːment/	yorum	B1
apparently	1429	adv.	/əˈpærəntli/	görünen o ki	B2
twice	1430	adv.	/twaɪs/	iki kere	A1
background	1431	noun	/ˈbækɡraʊnd/	arka fon	A2
quarter	1432	noun	/ˈkwɔːr.t̬ɚ/	çeyrek	A1
review	1433	noun	/rɪˈvjuː/	gözden geçirme	A2
faith	1434	noun	/feɪθ/	inanç, güven	B2
move	1435	noun	/muːv/	taşınma	B1
speed	1436	noun	/spiːd/	hız	B2
engage	1437	verb	/ɪnˈɡeɪdʒ/	(bir işle) meşgul olmak / birbirine geçmek / işe almak	B2
broad	1438	adj.	<div>/brɑːd/</div>	geniş, engin	B2
perspective	1439	noun	/pɚˈspek.tɪv/	perspektif, bakış açısı	B2
slightly	1440	adv.	/ˈslaɪtli/	hafifçe,&nbsp;azıcık	B1
growing	1441	adj.	/ˈɡroʊɪŋ/	büyüyen	
view	1442	verb	/vjuː/	seyretmek, görmek	B1
function	1443	noun	/ˈfʌŋkʃn/	fonksiyon	B2
construction	1444	noun	/kənˈstrʌkʃn/	inşaat	B2
egg	1445	noun	/eɡ/	yumurta	A1
charge	1446	verb	/tʃɑːrdʒ/	şarj etmek / ücretlendirmek	B1
wave	1447	noun	/weɪv/	dalga	B1
female	1448	adj.	/ˈfiːmeɪl/	dişi	A2
murder	1449	noun	/ˈmɜːrdər/	cinayet	B1
tape	1450	noun	/teɪp/	bant	B1
burn	1451	verb	/bɜːrn/	yakmak/yanmak	B2
means	1452	noun	/miːnz/	araç  (bir sonuca ulaşmak için kullanılan şey)	B2
aware	1453	adj.	/əˈwer/	farkında olma	B1
mistake	1454	noun	/mɪˈsteɪk/	hata	B2
quiet	1455	adj.	/ˈkwaɪət/	sessiz	A1
connection	1456	noun	/kəˈnekʃn/	bağlantı	B1
shoe	1457	noun	/ʃuː/	ayakkabı	A1
clothes	1458	noun	/kloʊðz; kloʊz/	kıyafetler	A1
promise	1459	verb	/ˈprɑːmɪs/	söz vermek	A2
religion	1460	noun	/rɪˈlɪdʒən/	din	B1
complete	1461	adj.	/kəmˈpliːt/	eksizsiz, tam	A1
united	1462	adj.	/juːˈnaɪ.t̬ɪd/	birleşmiş	A2
context	1463	noun	/ˈkɑːntekst/	bağlam	A2
active	1464	adj.	/ˈæktɪv/	aktif	A2
focus	1465	noun	/ˈfoʊkəs/	odak	A2
youth	1466	noun	/juːθ/	gençlik	B1
location	1467	noun	/loʊˈkeɪʃn/	yer, konum	B1
neighbor	1468	noun	/ˈneɪbər/	komşu	A1
dress	1469	verb	/dres/	giyinmek	A1
Internet	1470	noun	/ˈɪntərnet/	internet	
category	1471	noun	/ˈkæt̬.ə.ɡri/	kategori	B1
dangerous	1472	adj.	/ˈdeɪndʒərəs/	tehlikeli	A1
extend	1473	verb	/ɪkˈstend/	uzatmak	B2
combine	1474	verb	/kəmˈbaɪn/	birleşmek, birleştirmek	B1
demand	1475	verb	/dɪˈmænd/	talep etmek	B2
coast	1476	noun	/koʊst/	kıyı, deniz kenarı	A2
relatively	1477	adv.	/ˈrelətɪvli/	nispeten, oranla	B2
smile	1478	noun	/smaɪl/	gülümseme	A2
bus	1479	noun	/bʌs/	otobüs	A1
chief	1481	adj.	/tʃiːf/	şef	B2
following	1482	adj.	/ˈfɑːloʊɪŋ/	takip eden, izleyen	B2
depend	1483	verb	/dɪˈpend/	bağlı olmak	A2
key	1484	noun	/kiː/	anahtar	B1
hell	1485	noun	/hel/	cehennem	B2
visit	1486	noun	/ˈvɪzɪt/	ziyaret	A1
bone	1487	noun	/boʊn/	kemik	A2
cook	1488	verb	/kʊk/	yemek yapmak, pişirmek	A2
fire	1489	verb	/ˈfaɪər/	ateş etmek	A2
direct	1490	adj.	/dəˈrekt; daɪˈrekt/	doğrudan	B1
Native	1491	adj.	/ˈneɪtɪv/	yerli, yerli kimse	B1
cool	1492	adj.	/kuːl/	havalı (tip), soğuk	B1
cut	1493	noun	/kʌt/	kesik	B1
remind	1494	verb	/rɪˈmaɪnd/	hatırlatmak	B1
historical	1495	adj.	/hɪˈstɔːrɪkl/	tarihi	B1
moral	1496	adj.	/ˈmɔːrəl/	ahlaki	B2
voter	1497	noun	/ˈvoʊ.t̬ɚ/	seçmen	
appropriate	1498	adj.	/əˈproʊpriət; əˈproʊprieɪt/	uygun	B2
famous	1499	adj.	/ˈfeɪməs/	ünlü, tanınmış	A1
hire	1500	verb	/ˈhaɪər/	(ücret vererek) tutmak	B2
victory	1501	noun	/ˈvɪktəri/	zafer	B2
contact	1502	noun	/ˈkɑːntækt/	temas, iletişim	B1
fully	1503	adv.	/ˈfʊli/	tamamen	B2
negative	1504	adj.	/ˈneɡ.ə.t̬ɪv/	olumsuz	B2
medicine	1505	noun	/ˈmedɪsn/	ilaç	A2
participate	1506	verb	/pɑːrˈtɪsɪpeɪt/	(aktif olarak) katılmak	B1
grade	1507	noun	/ɡreɪd/	sınıf	B2
eastern	1508	adj.	/ˈiːstərn/	doğulu	B1
supply	1509	noun	/səˈplaɪ/	tedarik	B1
yesterday	1510	adv.	/ˈjestərdeɪ; ˈjestərdi/	dün	A1
familiar	1511	adj.	/fəˈmɪliər/	tanıdık	B1
democracy	1512	noun	/dɪˈmɑːkrəsi/	demokrasi	B2
pair	1513	noun	/per/	çift(iki parçadan oluşan şey)	A1
drive	1514	noun	/draɪv/	dürtü	A2
healthy	1515	adj.	/ˈhelθi/	sağlıklı	A1
front	1516	noun	/frʌnt/	ön	A1
tie	1517	verb	/taɪ/	bağlamak&nbsp;  (kordon, ip veya sicimle)	A2
birth	1518	noun	/bɜːrθ/	doğum	A2
progress	1519	noun	/ˈprɑːɡres; ˈprɑːɡrəs/	ilerleme, mesafe kaydetme	A2
damage	1520	noun	/ˈdæmɪdʒ/	zarar	B1
exchange	1521	noun	/ɪksˈtʃeɪndʒ/	değiş tokuş / döviz	B1
bottom	1522	noun	/ˈbɑːtəm/	en alt	A2
daily	1523	adj.	/ˈdeɪli/	günlük, gündelik	B1
next	1524	prepos.	/nekst/	sonraki	B1
document	1525	noun	/ˈdɑːkjumənt/	belge	B2
grand	1526	adj.	/ɡrænd/	(etkileyici derecede) büyük	B2
journal	1527	noun	/ˈdʒɜːrnl/	seyir defteri	B1
knee	1528	noun	/niː/	diz	A2
primary	1529	adj.	/ˈpraɪmeri/	başlıca, birincil	B1
otherwise	1530	adv.	/ˈʌðərwaɪz/	aksi halde	B2
train	1531	verb	/treɪn/	eğitmek	A2
grab	1532	verb	/ɡræb/	kapmak, yakalamak	B2
circle	1533	noun	/ˈsɜːrkl/	daire (şekil)	A2
lean	1534	verb	/liːn/	yaslanmak	B2
wine	1535	noun	/waɪn/	şarap	A1
minority	1536	noun	/məˈnɔr·ɪ·t̬i/	azınlık	B2
flower	1537	noun	/ˈflaʊər/	çiçek	A1
device	1538	noun	/dɪˈvaɪs/	cihaz	A2
plate	1540	noun	/pleɪt/	(şekli düz) tabak	A2
attack	1541	verb	/əˈtæk/	saldırmak	A2
clean	1542	adj.	/kliːn/	temiz	A1
alive	1543	adj.	/əˈlaɪv/	canlı	A2
actor	1544	noun	/ˈæktər/	aktör	A1
hate	1545	verb	/heɪt/	nefret etmek	B1
expression	1546	noun	/ɪkˈspreʃn/	ifade	A2
below	1547	adv.	/bɪˈloʊ/	altında	A1
bright	1548	adj.	/braɪt/	parlak	A2
press	1549	verb	/pres/	basmak	B1
tour	1550	noun	/tʊr/	tur	B1
finding	1551	noun	/ˈfaɪndɪŋ/	bulma	B2
exercise	1552	noun	/ˈeksərsaɪz/	egzersiz	A1
plastic	1553	noun	/ˈplæstɪk/	plastik	A2
danger	1554	noun	/ˈdeɪndʒər/	tehlike	A2
neck	1555	noun	/nek/	boyun	A2
valley	1556	noun	/ˈvæli/	vadi	A2
academic	1557	adj.	/ˌækəˈdemɪk/	akademik	B1
start	1558	noun	/stɑːrt/	başlangıç	A2
application	1559	noun	/ˌæplɪˈkeɪʃn/	başvuru, uygulama	B1
intend	1560	verb	/ɪnˈtend/	niyet etmek	B1
male	1561	adj.	/meɪl/	erkek	A2
tall	1562	adj.	/tɑːl/	uzun (boy)	A1
shut	1563	verb	/ʃʌt/	kapamak/kapatmak	A2
lots	1564	pronoun	/lɑːts/	çok	
Indian	1565	adj.	/ˈɪndiən/	Hintli	
respect	1566	noun	/rɪˈspekt/	saygı	B1
colleague	1567	noun	/ˈkɑːliːɡ/	meslektaş	A2
writing	1568	noun	/ˈraɪtɪŋ/	yazı	A1
rain	1569	noun	/reɪn/	yağmur	A1
fast	1570	adv.	/fæst/	hızlı	A1
football	1571	noun	/ˈfʊt.bɑːl/	Futbol	A1
welcome	1572	verb	/ˈwelkəm/	hoş karşılamak	A2
domestic	1573	adj.	/dəˈmestɪk/	yerli / evcil	B2
pool	1574	noun	/puːl/	havuz	A1
literature	1575	noun	/ˈlɪt̬.ɚ.ə.tʃɚ/	edebiyat	B1
extra	1576	adj.	/ˈekstrə/	ekstra	B1
northern	1577	adj.	/ˈnɔːrðərn/	kuzeyli	B1
desire	1578	noun	/dɪˈzaɪər/	arzu	B2
direct	1579	verb	/dəˈrekt/	yönlendirmek, yönetmek	B1
fight	1580	noun	/faɪt/	kavga	A2
corporate	1581	adj.	/ˈkɔːrpərət/	kurumsal	B2
session	1582	noun	/ˈseʃn/	oturum	B2
supreme	1583	adj.	/suːˈpriːm/	yüce	C1
studio	1584	noun	/ˈstuːdioʊ/	stüdyo	B1
Russian	1585	adj.	/ˈrʌʃ(ə)n/	Rus	
nod	1586	verb	/nɑːd/	başı ile onaylamak	C1
learning	1587	noun	/ˈlɜːrnɪŋ/	öğrenme	A2
climb	1588	verb	/klaɪm/	tırmanmak	B1
importance	1589	noun	/ɪmˈpɔr.təns/	önem	B1
somewhere	1590	adv.	/ˈsʌmwer/	bir yerde	A2
expand	1591	verb	/ɪkˈspænd/	yayılmak, genişletmek	B1
fourth	1592	num.	/fɔːrθ/	dördüncü	A1
dry	1593	adj.	/draɪ/	kuru	A2
disappear	1594	verb	/ˌdɪsəˈpɪr/	ortadan kaybolmak	A2
abuse	1595	noun	/əˈbjuːs/	istismar, suistimal	C1
chicken	1596	noun	/ˈtʃɪkɪn/	tavuk	A1
obtain	1597	verb	/əbˈteɪn/	edinmek, elde etmek	B2
map	1598	noun	/mæp/	harita	B2
carefully	1599	adv.	/ˈkerfəli/	dikkatlice	A2
close	1600	adv.	/kloʊz; kloʊs/	yakından, yakın	
increasingly	1601	adv.	/ɪnˈkriːsɪŋli/	giderek	B2
greatest	1602	adj.	/'ɡretɪst/	en büyük (etkileyici büyüklük)	
complex	1603	adj.	/ˈkɑːmpleks/	karmaşık	B2
metal	1604	noun	/ˈmetl/	metal	A2
lead	1605	noun	/led/	(maden) kurşun / öncü	
above	1606	adv.	/əˈbʌv/	üstünde	A1
jury	1607	noun	/ˈdʒʊri/	jüri	B2
sweet	1608	adj.	/swiːt/	tatlı	A2
proposal	1609	noun	/prəˈpoʊzl/	(evlilik)teklif	B2
impossible	1610	adj.	/ɪmˈpɑːsəbl/	imkansız	A2
scientific	1611	adj.	/ˌsaɪənˈtɪfɪk/	bilimsel	B1
ticket	1612	noun	/ˈtɪkɪt/	bilet	A1
leaf	1613	noun	/liːf/	yaprak	B1
classroom	1614	noun	/ˈklæsruːm; ˈklæsrʊm/	(mekan olarak) sınıf	A1
surround	1615	verb	/səˈraʊnd/	çevrelemek	B2
lunch	1616	noun	/lʌntʃ/	öğle yemeği	A1
alone	1617	adj.	/əˈloʊn/	(fiziksel) yanlız	A2
meaning	1618	noun	/ˈmiːnɪŋ/	anlam	A1
injury	1619	noun	/ˈɪndʒəri/	yaralanma	A2
invite	1620	verb	/ɪnˈvaɪt/	davet etmek	A2
enemy	1621	noun	/ˈenəmi/	düşman	B1
repeat	1622	verb	/rɪˈpiːt/	tekrarlamak	B1
bear	1623	verb	/ber/	katlanmak (birisine)&nbsp;, dayanmak	B2
lip	1624	noun	/lɪp/	dudak	B1
mayor	1625	noun	/ˈmeɪər/	Belediye Başkanı	A2
award	1626	noun	/əˈwɔːrd/	(resmi) ödül	B1
attempt	1627	verb	/əˈtempt/	kalkışmak, teşebbüs etmek	B2
commitment	1628	noun	/kəˈmɪtmənt/	bağlılık, taahhüt	B2
consequence	1629	noun	/ˈkɑːnsɪkwens/	sonuç (bir aksiyona ait)	B1
instruction	1630	noun	/ɪnˈstrʌkʃn/	talimat	A2
surprise	1631	noun	/sərˈpraɪz/	sürpriz	A2
poll	1632	noun	/poʊl/	anket	C1
favorite	1633	adj.	/ˈfeɪvərɪt/	favori	A1
explore	1634	verb	/ɪkˈsplɔːr/	(gezerek) keşfetmek	B1
predict	1635	verb	/prɪˈdɪkt/	öngörmek	A2
adopt	1636	verb	/əˈdɑːpt/	evlat edinmek / benimsemek	B2
sight	1637	noun	/saɪt/	görüş alanı, görme	B1
storm	1638	noun	/stɔːrm/	fırtına	A2
half	1639	noun	/hæf/	yarım	A2
assessment	1640	noun	/əˈsesmənt/	değerlendirme	B2
weather	1641	noun	/ˈweðər/	hava, hava durumu	A1
pocket	1642	noun	/ˈpɑːkɪt/	cep	A2
aid	1643	noun	/eɪd/	(tıbbi) yardım	B2
reading	1644	noun	/ˈriːdɪŋ/	okuma	A1
thin	1645	adj.	/θɪn/	ince	A2
soul	1646	noun	/soʊl/	ruh	B2
strange	1647	adj.	/streɪndʒ/	tuhaf / yabancı	A2
married	1648	adj.	/ˈmærid/	evli	A1
organize	1649	verb	/ˈɔːrɡənaɪz/	düzenlemek	A2
conclusion	1650	noun	/kənˈkluːʒn/	(çıkarılan, ortaya konan) sonuç	B1
fuel	1651	noun	/ˈfjuːəl/	yakıt	B2
urban	1652	adj.	/ˈɜːrbən/	kentsel	B2
belong	1653	verb	/bɪˈlɑːŋ/	ait olmak	A2
salt	1654	noun	/sɑːlt/	tuz	A1
farmer	1655	noun	/ˈfɑːrmər/	çiftçi	A1
straight	1656	adv.	/streɪt/	düz	A2
advice	1657	noun	/ədˈvaɪs/	tavsiye, öğüt	A1
cover	1658	noun	/ˈkʌvər/	kılıf, kapak	B1
balance	1659	noun	/ˈbæləns/	denge	B1
temperature	1660	noun	/ˈtemprətʃər; ˈtemprətʃʊr/	ısı derecesi	A2
empty	1661	adj.	/ˈempti/	boş	B1
conclude	1662	verb	/kənˈkluːd/	sonuçlandırmak	B1
somehow	1663	adv.	/ˈsʌmhaʊ/	bir şekilde	B2
presidential	1664	adj.	/ˌprezɪˈdenʃl/	başkanlıkla ilgili, başkanlığa ait	B2
limit	1665	noun	/ˈlɪmɪt/	sınır	B1
prime	1666	adj.	/praɪm/	en iyi dönem (bir kişinin/ bir şeyin) / asal	B2
breast	1667	noun	/brest/	göğüs	B2
desk	1668	noun	/desk/	çalışma masası	A1
record	1669	verb	/ˈrɪˈkɔːrd/	kaydetmek, banda almak	A2
breath	1670	noun	/breθ/	nefes	B1
theater	1671	noun	/ˈθiː.ə.t̬ɚ/	tiyatro	A1
under	1672	adv.	/ˈʌndər/	altında	A1
acknowledge	1673	verb	/əkˈnɑːlɪdʒ/	kabul etmek / aldığını bildirmek	B2
theme	1674	noun	/θiːm/	tema	B1
fat	1675	noun	/fæt/	yağ	A2
software	1676	noun	/ˈsɑːft.wer/	yazılım	B1
sugar	1677	noun	/ˈʃʊɡər/	şeker	A1
educational	1678	adj.	/ˌedʒuˈkeɪʃənl/	eğitimsel	B1
thousand	1679	num.	/ˈθaʊz(ə)nd/	bin	A1
code	1680	noun	/koʊd/	kod	A2
fear	1681	verb	/fɪr/	korkmak	B1
connect	1682	verb	/kəˈnekt/	bağlamak/bağlanmak	A2
yellow	1683	adj.	/ˈjeloʊ/	sarı	A1
instrument	1684	noun	/ˈɪnstrəmənt/	enstrüman	A2
Japanese	1685	adj.	/ˌdʒæpəˈniːz/	Japon	
panel	1686	noun	/ˈpænl/	panel	B2
library	1687	noun	/ˈlaɪbreri/	kütüphane	A1
expensive	1688	adj.	/ɪkˈspensɪv/	pahalı	A1
emotional	1689	adj.	/ɪˈmoʊʃənl/	duygusal	B2
engine	1690	noun	/ˈendʒɪn/	motor	A2
propose	1691	verb	/prəˈpoʊz/	teklif etmek, önermek	B2
mental	1692	adj.	/ˈmentl/	zihinsel	B1
difficulty	1693	noun	/ˈdɪfɪkəlti/	zorluk	B1
train	1694	noun	/treɪn/	tren	A2
